date,rank,ticker,score,catalyst,rationale,risk,close,confidence_label,confidence_score,est_open_move_pct,est_close_move_pct,is_ipo
2026-07-13,1,AAVE-USD,0.2379,adoption,zkSync Era V3 deployment and $900M revenue report reinforce strong fundamental growth narrative.,High volatility (79.7%) could produce sharp reversal on profit-taking.,95.94,Medium,0.5,1.0,1.5,False
2026-07-13,2,ZEC-USD,0.2204,protocol_upgrade,Ironwood upgrade and formal verification news ahead of July 28 mainnet upgrade drove strong momentum.,RSI 74.4 overbought suggests near-term pullback risk after large run-up.,513.72,Medium,0.525,1.5,2.0,False
2026-07-13,3,JTO-USD,0.188,adoption,Strong BTC ETF inflows and new Solana infrastructure partnerships support JTO upside.,Extremely high volatility (109%) makes directional moves unpredictable.,0.66,Medium,0.45,1.0,1.3,False
2026-07-14,1,JTO-USD,0.1663,adoption,"Jito up over 4% on elevated volume, standing out as a top gainer amid broader crypto weakness.","Thin, generic gainer headline could reverse quickly given extreme 106% volatility.",0.64,Medium,0.45,1.0,0.6,False
2026-07-15,1,ETH-USD,0.0831,adoption,ETF inflows and staking revenue narratives (Bitmine) support ETH momentum despite very stretched RSI.,RSI near 78 signals overbought conditions ripe for sharp mean reversion.,1880.32,Medium,0.599,0.5,1.5,False
2026-07-16,1,ETH-USD,0.0838,whale_activity,Large exchange outflows suggest accumulation but top-PnL wallets net selling clouds the bullish read.,"Smart-money selling accelerates, overriding retail accumulation signal.",1886.18,Medium,0.571,0.3,0.5,False
2026-07-16,1,ZEC-USD,0.2196,adoption,Multi-week breakout rally toward $600 continues to draw momentum buyers per web search coverage.,Extreme volatility (83.6%) and elevated RSI (69) leave rally prone to sharp reversal.,546.57,Medium,0.5,1.0,1.5,False
2026-07-16,2,HOOD,0.1084,other,Robinhood Chain's Vlad.fun launchpad halt over integrity issue and memecoin liquidity freefall dent ecosystem credibility.,Strong core brokerage momentum (mom20d +17.75%) could overshadow niche Chain setback.,115.54,Low,0.15,-0.5,-1.0,False
2026-07-17,1,ETHFI-USD,0.1979,adoption,DeFi rotation plus positive cash-card/RWA partnership news lifted ETHFI ~6%.,Extremely high volatility (93%) could reverse gains quickly on broader market weakness.,0.42,Medium,0.475,0.5,1.0,False
2026-07-17,2,LDO-USD,0.1569,protocol_upgrade,Staking Router v3 governance vote conclusion is a major catalyst but token already up 16% and RSI at 84.5.,Extreme overbought RSI raises risk of sharp mean-reversion pullback regardless of vote outcome.,0.38,Medium,0.525,0.5,-2.0,False
2026-07-22,1,ETH-USD,0.0952,adoption,ETH broke $1.9K resistance with BitMine nearing 5% supply target and rising staking demand.,Overbought RSI 71.6 risks pullback if Google earnings disappoint AI-linked sentiment.,1924.72,Medium,0.639,0.5,1.2,False
2026-07-22,1,ETHFI-USD,0.2051,adoption,"Nexus Mutual slashing-cover partnership adds real utility, driving reported 4% gain.",Extreme volatility (89.6%) and already stretched 42% monthly momentum could snap back.,0.47,Medium,0.475,0.5,1.0,False
2026-07-22,2,LDO-USD,0.1911,listing_delisting,"Interactive Brokers listing boosts liquidity and visibility, adding to already strong 52% monthly rally.",Overbought RSI 72.9 and high volatility could trigger quick profit-taking reversal.,0.39,Medium,0.475,0.5,1.0,False
2026-07-23,1,BMNR,0.0649,whale_activity,"BitMine expanded its ETH treasury and executed share buybacks, drawing heavy volume and bullish signal.",High volatility (75.8%) means gains could reverse quickly on broader ETH weakness.,17.74,Medium,0.475,1.0,1.5,False
